patient,class,class_name,dice,iou,hd95,assd,nsd
Patient_01,0,background,0.998741,0.997486,0.976562,0.260150,0.968948
Patient_01,1,esophagus,0.761519,0.614882,10.786485,3.083759,0.521394
Patient_01,2,heart,0.885657,0.794779,17.436075,6.741851,0.460939
Patient_01,3,trachea,0.823026,0.699272,7.159524,1.747621,0.748090
Patient_01,4,aorta,nan,nan,nan,nan,nan
Patient_11,0,background,0.999024,0.998049,0.000000,0.162678,0.970582
Patient_11,1,esophagus,0.602596,0.431225,13.187295,4.219785,0.296780
Patient_11,2,heart,0.901551,0.820749,8.179513,3.018720,0.373698
Patient_11,3,trachea,0.432831,0.276187,19.706245,5.422319,0.244338
Patient_11,4,aorta,nan,nan,nan,nan,nan
Patient_15,0,background,0.996761,0.993543,2.655877,0.389859,0.937864
Patient_15,1,esophagus,0.539490,0.369384,17.462287,5.184045,0.292586
Patient_15,2,heart,0.893430,0.807387,70.000000,7.697057,0.393043
Patient_15,3,trachea,0.652592,0.484331,25.329077,4.428623,0.379429
Patient_15,4,aorta,nan,nan,nan,nan,nan
Patient_17,0,background,0.999056,0.998114,0.000000,0.148741,0.979279
Patient_17,1,esophagus,0.738575,0.585508,27.508667,4.067057,0.575239
Patient_17,2,heart,0.870725,0.771048,15.261088,4.205099,0.444088
Patient_17,3,trachea,0.821086,0.696477,96.331830,6.194053,0.776536
Patient_17,4,aorta,nan,nan,nan,nan,nan
Patient_19,0,background,0.998625,0.997254,0.976562,0.368878,0.963633
Patient_19,1,esophagus,0.720493,0.563102,16.160780,3.811522,0.476834
Patient_19,2,heart,0.873970,0.776151,89.571131,9.210665,0.326281
Patient_19,3,trachea,0.534735,0.364940,23.434276,4.688721,0.489521
Patient_19,4,aorta,nan,nan,nan,nan,nan
