patient,class,class_name,dice,iou,hd95,assd,nsd
Patient_01,0,background,0.998974,0.997950,0.976562,0.146785,0.976274
Patient_01,1,esophagus,0.221159,0.124328,13.710495,5.151496,0.265821
Patient_01,2,heart,0.921917,0.855145,7.735752,2.319910,0.617516
Patient_01,3,trachea,0.831252,0.711234,9.852021,1.912021,0.759825
Patient_01,4,aorta,0.786868,0.648626,12.304251,3.094034,0.554283
Patient_11,0,background,0.999035,0.998071,0.000000,0.161685,0.971485
Patient_11,1,esophagus,0.251642,0.143931,45.067248,12.594224,0.271155
Patient_11,2,heart,0.905424,0.827191,7.604255,2.925036,0.352195
Patient_11,3,trachea,0.632989,0.463046,26.127238,4.626498,0.454793
Patient_11,4,aorta,0.575051,0.403559,21.619919,5.261784,0.250597
Patient_15,0,background,0.996742,0.993505,2.834931,0.401087,0.933807
Patient_15,1,esophagus,0.000000,0.000000,150.567612,65.354721,0.000000
Patient_15,2,heart,0.888471,0.799323,77.500000,10.666172,0.352685
Patient_15,3,trachea,0.555125,0.384203,17.881241,4.643782,0.248168
Patient_15,4,aorta,0.536979,0.367034,16.064503,5.717400,0.243610
Patient_17,0,background,0.999170,0.998342,0.000000,0.120889,0.981146
Patient_17,1,esophagus,0.413862,0.260925,14.687909,3.438526,0.509216
Patient_17,2,heart,0.910619,0.835904,9.085366,2.589397,0.517691
Patient_17,3,trachea,0.723058,0.566242,112.711728,15.388537,0.604253
Patient_17,4,aorta,0.722472,0.565523,43.708221,5.488738,0.535599
Patient_19,0,background,0.998621,0.997246,1.381067,0.389730,0.962239
Patient_19,1,esophagus,0.260564,0.149798,66.381948,11.386100,0.323730
Patient_19,2,heart,0.874507,0.776999,82.308795,9.779842,0.313129
Patient_19,3,trachea,0.576356,0.404845,122.501557,12.402059,0.465227
Patient_19,4,aorta,0.714809,0.556189,23.208526,4.462026,0.425752
