patient,class,class_name,dice,iou,hd95,assd,nsd
Patient_01,0,background,0.998948,0.997898,0.976562,0.161294,0.977453
Patient_01,1,esophagus,0.613191,0.442160,10.597076,2.626546,0.591183
Patient_01,2,heart,0.899372,0.817145,8.831128,3.014645,0.543618
Patient_01,3,trachea,0.857967,0.751263,10.000000,1.734052,0.850397
Patient_01,4,aorta,0.820541,0.695693,12.657506,2.754967,0.683480
Patient_11,0,background,0.999000,0.998002,0.000000,0.172097,0.971540
Patient_11,1,esophagus,0.457038,0.296209,22.032020,4.817916,0.456423
Patient_11,2,heart,0.885835,0.795066,8.756064,3.491168,0.310581
Patient_11,3,trachea,0.792678,0.656558,17.192680,2.453625,0.723623
Patient_11,4,aorta,0.623095,0.452534,20.000000,4.979561,0.326235
Patient_15,0,background,0.996461,0.992947,2.535640,0.386308,0.941561
Patient_15,1,esophagus,0.021290,0.010760,150.457522,42.962276,0.039726
Patient_15,2,heart,0.898182,0.815181,52.500000,5.199172,0.420057
Patient_15,3,trachea,0.707804,0.547753,8.489474,2.974152,0.540581
Patient_15,4,aorta,0.498220,0.331753,24.220206,7.325374,0.288039
Patient_17,0,background,0.999059,0.998121,0.000000,0.132334,0.979635
Patient_17,1,esophagus,0.564647,0.393385,8.764806,2.648184,0.555620
Patient_17,2,heart,0.882911,0.790367,10.334152,3.632604,0.425118
Patient_17,3,trachea,0.860024,0.754423,12.500000,2.893434,0.861962
Patient_17,4,aorta,0.750106,0.600135,22.521183,4.507516,0.549696
Patient_19,0,background,0.998517,0.997038,0.976562,0.228953,0.964047
Patient_19,1,esophagus,0.484144,0.319387,73.611925,9.934340,0.441210
Patient_19,2,heart,0.862936,0.758915,13.419830,4.421926,0.274206
Patient_19,3,trachea,0.714061,0.555284,117.907951,7.823178,0.634172
Patient_19,4,aorta,0.669924,0.503674,18.055577,6.337471,0.441333
